ID,EarthquakeName,Starttime,Mw,HypLat,HypLon,Etype,Depth,Station,StaLat,StaLon,Rhyp,Repi,Rrup,Rjb,Vs30,Az
35,20000811_5.2Mw_18.18S_70.47W_58KM,2000-08-11 17:31:09.000,5.2,-18.18,-70.47,interface,58,ARICA,-18.4824,-70.3134,68.88815005,37.34057092,68.88815005,37.34057092,387,10
36,20010623_8.4Mw_17.28S_72.71W_26KM,2001-06-23 20:34:47.000,8.4,-17.28,-72.71,interface,26,ARICA,-18.4824,-70.3134,287.2971392,286.7279869,122.3188864,115.8823957,387,10
37,20010707_7.2Mw_17.53S_72.07W_33KM,2001-07-07 09:39:48.900,7.2,-17.53,-72.07,interface,33,ARICA CHACALLUTA,-18.3148,-70.3141,207.4169568,205.3160926,122.6517934,120.7065551,288,11
38,20010724_5.1Mw_35.31S_71.27W_53KM,2001-07-24 17:42:51.300,5.1,-35.31,-71.27,crustal,53,VINA DEL MAR EL SALTO CERRO,-33.0472,-71.5099,256.4422827,251.974804,256.4422827,251.974804,477,0
39,20010724_6.1Mw_19.21S_69.10W_3KM,2001-07-24 05:01:00.300,6.1,-19.21,-69.1,crustal,3,ARICA CHACALLUTA,-18.3148,-70.3141,161.868155,161.8828611,161.868155,161.8828611,288,11
40,20010724_6.1Mw_19.21S_69.10W_3KM,2001-07-24 05:00:37.600,6.1,-19.21,-69.1,crustal,3,IQUIQUE,-20.2141,-70.1377,155.5190988,155.530714,155.5190988,155.530714,449,9
41,20010724_6.1Mw_19.21S_69.10W_3KM,2001-07-24 05:00:40.100,6.1,-19.21,-69.1,crustal,3,PICA,-20.4921,-69.3303,143.9610196,143.9668922,143.9610196,143.9668922,492,339
42,20010808_5.6Mw_18.16S_69.43W_113KM,2001-08-08 03:34:03.900,5.6,-18.16,-69.43,interface,113,ARICA CHACALLUTA,-18.3148,-70.3141,147.1237239,95.0612115,147.1237239,95.0612115,288,11
43,20011128_4.6Mw_32.25S_71.27W_29KM,2001-11-28 10:54:55.300,4.6,-32.25,-71.27,interface,29,VINA DEL MAR EL SALTO CERRO,-33.0472,-71.5099,95.5272526,91.22813547,95.5272526,91.22813547,477,0
44,20011228_4.5Mw_32.25S_71.29W_24KM,2001-12-28 21:30:23.700,4.5,-32.25,-71.29,crustal,24,VINA DEL MAR EL SALTO CERRO,-33.0472,-71.5099,93.73561203,90.78340941,93.73561203,90.78340941,477,0
