B      : 8        # foundation width
L      : 14       # foundation length
Df     : 1.5      # foundation embedment depth
Q      : 50 0.2   # Foundation bearing pressure q (kPa) and coefficient of variation covQ and number of percentiles
type   : Masonry  # building type (masonty,steel, timber, reinforced concrete)
wt     : 2        # Water table depth

# Soil Parameters (for Bullock et al. 2018)
LPC   : Yes      # Low permeability cap present above top susceptible layer?    
th1   : 2        # Non-susceptible crust thickness
th2   : 6        # Maximum continuous thickness of susceptible material in top B
N1    : 1        # Number of susceptible layers in top B    
N2    : 2        # Number of non-susceptible layers in top B
meth  : CPT      # Soil profile testing method
N160  : 9   0   0   0   0   0   0   0   0   0
qc1N  : nan nan nan nan nan nan nan nan nan nan
thick : 6   0   0   0   0   0   0   0   0   0
d2mat : 3.5 0   0   0   0   0   0   0   0   0

# CPT LOG (For Macedo, Bray 2017)
Depth qc fs u2
4.83 27.26 0.17 0.00
4.84 25.79 0.13 0.00
4.85 24.60 0.13 0.00
4.86 23.91 0.13 0.00
4.87 22.56 0.14 0.00
4.88 21.32 0.16 0.00
4.89 21.41 0.13 0.00
4.9 20.50 0.10 0.00
4.91 20.37 0.08 0.00
4.92 20.05 0.07 0.00
4.93 20.93 0.07 0.00
4.94 21.97 0.07 0.00
4.95 22.62 0.08 0.00
4.96 23.71 0.09 0.00
4.97 22.97 0.13 0.00
4.98 22.64 0.12 0.00
4.99 22.94 0.09 0.00
5 22.70 0.06 0.00
5.01 24.09 0.05 0.00
5.02 25.42 0.05 0.00
5.03 25.14 0.03 0.00
5.04 24.87 0.02 0.00
5.05 24.59 0.01 0.00
5.06 25.41 0.00 0.00
5.07 26.18 0.00 0.00
5.08 26.32 0.01 0.00
5.09 25.55 0.02 0.00
5.1 26.35 0.00 0.00
5.11 26.62 0.00 0.00
5.12 27.09 0.00 0.00
5.13 28.12 0.00 0.00
5.14 28.00 0.02 0.00
5.15 27.23 0.05 0.00
5.16 26.46 0.06 0.00
5.17 25.69 0.05 0.00
5.18 25.27 0.05 0.00
5.19 24.85 0.05 0.00
5.2 24.43 0.06 0.00
5.21 24.61 0.06 0.00
5.22 25.45 0.04 0.00
5.23 24.51 0.05 0.00
5.24 24.60 0.04 0.00
5.25 23.00 0.01 0.00
5.26 23.59 0.02 0.00
5.27 24.18 0.00 0.00
5.28 24.77 0.00 0.00
5.29 24.59 0.00 0.00
5.3 27.15 0.00 0.00
5.31 28.48 0.00 0.00
5.32 32.98 0.01 0.00
5.33 32.08 0.02 0.00
5.34 32.78 0.03 0.00
5.35 33.95 0.04 0.00
5.36 32.36 0.21 0.00
5.37 34.04 0.21 0.00
5.38 32.50 0.20 0.00
5.39 31.14 0.17 0.00
5.4 31.70 0.16 0.00
5.41 33.07 0.16 0.00
5.42 34.26 0.15 0.00
5.43 33.56 0.15 0.00
5.44 33.23 0.15 0.00
5.45 33.67 0.22 0.00
5.46 34.70 0.23 0.00
5.47 35.73 0.21 0.00
5.48 36.76 0.19 0.00
5.49 36.49 0.16 0.00
5.5 35.86 0.14 0.00
5.51 35.23 0.12 0.00
5.52 34.60 0.12 0.00
5.53 34.52 0.12 0.00
5.54 35.28 0.13 0.00
5.55 36.23 0.09 0.00
5.56 36.81 0.09 0.00
